名稱,市町村名,緯度,經度,電話號碼,網址
変なホテル東京浜松町,港区,35.6573 ,139.7565 ,(050)5894-3781,https://www.hennnahotel.com/hamamatsucho/
羽田エクセルホテル東急,大田区,35.5535 ,139.7868 ,(03)5756-6000,https://tokyuhotels.co.jp/haneda-e/
日和ホテル　東京銀座　EAST,中央区,35.6736 ,139.7733 ,(03)3555-1230,https://ginza-east.hiyori-hotel.jp/?gclid=EAIaIQobChMI-4SU_ueg6AIVxKiWCh2REQFoEAAYASAAEgLsl_D_BwE
相鉄フレッサイン日本橋茅場町,中央区,35.6808 ,139.7801 ,(03)3668-2500,https://fresa-inn.jp/kayabacho/
THE BLOSSOM HIBIYA （ザ ブラッサム 日比谷）,港区,35.6691 ,139.7563 ,(03)3591-8702,https://www.jrk-hotels.co.jp/Hibiya/
ヴィアイン東京大井町,品川区,35.6043 ,139.7341 ,(03)5718-5489,https://www.viainn.com/oimachi/
三井ガーデンホテル銀座プレミア,中央区,35.6671 ,139.7632 ,(03)3543-1131,https://www.gardenhotels.co.jp/ginza-premier-lp/
ホテルマイステイズプレミア赤坂,港区,35.6704 ,139.7385 ,(03)6229-3280,https://www.mystays.com/hotel-mystays-premier-akasaka-tokyo/
京急EXイン　浜松町・大門駅前,港区,35.6573 ,139.7541 ,(03)3431-3910,https://www.keikyu-exinn.co.jp/hotel/daimon/
ホテルサンルートパティオ大森,品川区,35.5876 ,139.7342 ,(03)3763-0211,https://www.patio-omori.com/
アイホテル京急蒲田,大田区,35.5630 ,139.7240 ,(03)5713-2277,https://www.aihotel.jp/kamata/
ONSEN RYOKAN 由縁新宿,新宿区,35.6929 ,139.7090 ,(03)5361-8355,https://ryokan-yuen.jp/en/
ヴィアイン日本橋人形町,中央区,35.6850 ,139.7801 ,(03)5640-5489,https://www.viainn.com/nihonbashi-n/
変なホテル　東京羽田,大田区,35.5545 ,139.7413 ,(03)3744-2700,https://www.hennnahotel.com/haneda/
レムプラス銀座,中央区,35.6674 ,139.7624 ,(03)6866-0606,https://www.hankyu-hotel.com/hotel/remm/ginza/
ONE@TOKYO,墨田区,35.7118 ,139.8160 ,(03)5630-1193,https://onetokyo.com
ホテル　サーティーマイルズ,羽村市,35.7774 ,139.3016 ,(042)555-3930,http://www.30-miles.com
東横イン福生駅前東口,福生市,35.7420 ,139.3283 ,(042)553-1045,https://www.toyoko-inn.com
NOHGA　HOTEL　UENO　TOKYO,台東区,35.7102 ,139.7782 ,(03)5816-0211,https://nohgahotel.com/ueno
ホテルウィングインターナショナル新橋御成門,港区,35.6608 ,139.7544 ,(03)3433-0122,https://www.hotelwing.co.jp/shimbashi-onarimon
上野ホテル,台東区,35.7161 ,139.7806 ,(03)6231-7610,http://www.uenohotel.jp/
HAMACHO HOTEL,中央区,35.6846 ,139.7893 ,(03)5643-1811,https://hamachohotel.jp/
変なホテル　浅草橋,台東区,35.6971 ,139.7848 ,(050)5894-3780,https://www.hennnahotel.com/asakusabashi/
ホテルイルフィオーレ葛西,江戸川区,35.6628 ,139.8745 ,(03)3877-0888,http://www.hotelilfiore.com/
銀座クレストン,中央区,35.6667 ,139.7789 ,(03)5550-5700,https://www.crestonhotel.jp/ginza/
三井ガーデンホテル銀座五丁目,中央区,35.6688 ,139.7667 ,(03)6226-5131,https://www.gardenhotels.co.jp/ginza-gochome/
三井ガーデンホテル六本木プレミア,港区,35.6625 ,139.7355 ,(03)5545-1431,https://www.gardenhotels.co.jp/roppongi-premier/
ザ・ロイヤルパークキャンバス銀座8,中央区,35.6681 ,139.7623 ,(03)6205-8010,https://www.canvas-ginza8.jp/room/universal
REMBRANDT STYLE TOKYO NISHIKASAI,江戸川区,35.6633 ,139.8603 ,(03)3675-8900,https://rembrandt-style.com/nishikasai
REMBRANDT STYLE TOKYO NISHIKASAI GRANDE,江戸川区,35.6624 ,139.8604 ,(0120)05-3901,https://rembrandt-style.com/nishikasai-grande
変なホテル東京銀座,中央区,35.6700 ,139.7739 ,(03)3547-2500,www.hennnahotel.com/ginza/
JR東日本ホテルメッツ東京ベイ新木場,江東区,35.6452 ,139.8274 ,(03)3522-0711,https://www.hotelmets.jp/shinkiba/index.html
ホテルベルクラシック東京,豊島区,35.7317 ,139.7275 ,(03)5950-1200,https://hotel-bellclassic.co.jp/
東横イン山手線大塚駅北口Ⅱ,豊島区,35.7326 ,139.7273 ,(03)3576-1045,https://www.toyoko-inn.com/search/detail/00139/
ホテルグレイスリー浅草,台東区,35.7095 ,139.7954 ,(03)6632-8981,https://gracery.com/asakusa/stay/room/
東横INN池袋北口Ⅱ,豊島区,35.7341 ,139.7103 ,(03)5396-1045,https://www.toyoko-inn.com/search/detail/00007/
MUJI　HOTEL　GINZA,中央区,35.6732 ,139.7654 ,(03)3538-6101,https://hotel.muji.com/ginza/ja/
エスペリアイン日本橋箱崎,中央区,35.6833 ,139.7902 ,(03)3527-2007,https://www.s-peria-inn.com/nihombashi/
アクトホテル渋谷,目黒区,35.6518 ,139.6863 ,(03)6452-3313,https://www.act-hotel.com/shibuya/
プルマン東京田町,港区,35.6451 ,139.7492 ,(03)6400-5855,https://www.pullmantokyotamachi.com/ja/
アパホテル町田駅東,町田市,35.5421 ,139.4506 ,(042)739-6880,https://www.apahotel.com/hotel/shutoken/machida-ekihigashi/
ホテルトラスティ東京ベイサイド,江東区,35.6288 ,139.7870 ,(03)6700-0001,https://ct.rion.mobi/trusty.tokyobayside/2/detail_165_166.html
東京セントラルユースホステル,新宿区,35.7008 ,139.7435 ,(03)3235-1107,http://www.jyh.gr.jp/tcyh
Hotel Hillarys Akasaka,港区,35.6737 ,139.7379 ,(03)3585-8700,http://www.hotel-hillarys.com/akasaka/
シタディーン新宿東京,新宿区,35.6910 ,139.7131 ,(03)5379-7208,https://www.discoverasr.com/ja/citadines/japan/citadines-shinjuku-tokyo
相鉄フレッサイン東京赤坂,港区,35.6712 ,139.7355 ,(03)5573-2031,https://fresa-inn.jp/akasaka/
東横INN上野田原町駅,台東区,35.7077 ,139.7914 ,(03)3847-1045,https://www.toyoko-inn.com/search/detail/00226/
ザ・ツーリストホテル葛西,江戸川区,35.6610 ,139.8741 ,(03)6661-3515,https://www.tourist-hotel.com/kasai/
ロッジオーシャン八丈島,八丈町,33.1251 ,139.8135 ,(04996)2-0164,https://www.lodgeocean.net/
満天望,八丈町,33.0930 ,139.7815 ,(04996)2-7250,http://mantenbo.net/
リードパークリゾート八丈島,八丈町,33.1433 ,139.7876 ,(04996)2-7701,http://www.lidohotels.jp/park/
リゾート　シーピロス,八丈町,33.1229 ,139.8154 ,(04996)2-5757,http://www.seapiross.co.jp/
八丈ビューホテル,八丈町,33.1155 ,139.7684 ,(04996)2-3221,http://www.hachijo-v.co.jp/
相鉄フレッサイン東京神田,千代田区,35.6917 ,139.7740 ,(03)6859-5203,fresa-inn.jp/kanda/room.html
ヴィアイン東銀座,中央区,35.6672 ,139.7705 ,(03)3545-5489,
シティテル府中,府中市,35.6720 ,139.4821 ,(042)334-9111,
ホテル　ザ　セレスティン東京芝,港区,35.6511 ,139.7488 ,(03)5441-4111,
ホテル京阪 東京四谷,新宿区,35.6869 ,139.7274 ,(03)5379-1003,https://www.hotelkeihan.co.jp/yotsuya/guestroom/universal/
東横INN東京八王子駅北口,八王子市,35.6568 ,139.3368 ,(042)698-1045,
ダイワロイネットホテル東京有明,江東区,35.6346 ,139.7925 ,(03)3599-6180,https://www.daiwaroynet.jp/ariake/room
ザ・スクエアホテル銀座,中央区,35.6723 ,139.7691 ,(03)3544-6811,www.the-squarehotel.com/sgi/
ヒルトン東京,新宿区,35.6926 ,139.6912 ,(03)3344-5111,
二子玉川エクセルホテル東急,世田谷区,35.6106 ,139.6301 ,(03)3700-1093,https://www.tokyuhotels.co.jp/futako-e/
フォレスト・イン昭和館,昭島市,35.7188 ,139.3647 ,042-542-1234,https://www.showakan.co.jp/
ホテル イースト21東京,江東区,35.6745 ,139.8125 ,03-5683-5683,https://www.hotel-east21.co.jp/stay/
ホテルJALシティ東京豊洲,江東区,35.6400 ,139.7800 ,03-5962-4016,https://www.tokyo-toyosu.hoteljalcity.com/rooms/regularfloor/
ザ・キャピトルホテル東急,千代田区,35.6741 ,139.7410 ,03-3503-0109,https://www.tokyuhotels.co.jp/capitol-h/room/52041/index.html
ホテルJALシティ羽田　ウエストウィング,大田区,35.0000 ,139.0000 ,03-5735-2525,https://www.haneda-hotel.com/
